uid,anime_uid,Mean_score
2121,1,10
2122,19,10
2123,245,9
2124,153,9
2125,164,10
2126,199,10
2127,2251,9
2128,1686,9
2130,150,7
2131,1699,10
2132,1571,10
2133,1506,10
2134,1562,9
2135,235,10
2136,407,9
2137,553,10
2138,741,7
2139,3226,10
2140,2164,4
2144,1575,10
2148,3231,1
2150,2166,7
2152,675,6
2156,263,10
2157,1195,6
2158,2164,8
2161,165,9
2162,1570,7
2164,2798,9
2165,1965,5
2166,845,6
2168,519,9
2170,1530,10
2171,245,10
2172,1087,10
2176,3231,1
2177,16,9
2178,3231,7
2214,2963,8
2215,64,6
2216,1013,9
2218,584,9
2220,883,7
2221,23,10
2228,20,8
2229,136,10
2231,269,10
2233,849,10
2234,2787,9
2239,23,8
2240,2001,8
2241,812,9
2243,433,10
2244,57,9
2245,205,10
2248,2523,6
2249,621,5
2250,627,10
2251,1607,6
2252,497,4
2253,1581,7
2258,706,10
2259,2787,10
2260,101,8
2263,1914,9
2264,2025,10
2265,1735,6
2266,519,10
2268,61,7
2270,853,10
2271,199,7
2272,849,10
2273,237,10
2274,2251,9
2275,169,9
2286,2494,10
2289,2245,4
2290,3541,7
2291,798,10
2292,874,8
2297,813,7
2300,1818,8
2301,2772,8
2302,1557,7
2305,389,7
2308,1818,6
2309,2593,10
2310,205,10
2311,2404,5
2314,20,9
2315,24,8
2316,139,5
2319,28,8
2320,1575,7
2323,985,9
2324,900,8
2328,528,7
2329,904,2
2330,229,7
2334,437,10
2335,2263,7
2336,3002,10
2338,1482,8
2340,177,7
2341,523,8
2350,243,10
2355,66,10
2356,19,10
2358,879,9
2359,918,10
2364,136,9
2365,1312,10
2366,1292,5
2367,1927,10
2370,153,9
2371,110,9
2372,3001,9
2375,1535,10
2377,440,10
2378,441,10
2381,1223,8
2384,1508,8
2391,1965,9
2393,1571,10
2394,227,4
2395,790,7
2396,178,8
2399,1808,9
2401,1486,9
2404,329,8
2405,1887,10
2410,1192,9
2411,120,8
2414,636,6
2415,85,10
2416,267,10
2417,1815,7
2420,974,7
2422,2746,7
2423,1157,6
2424,91,9
2425,405,8
2426,529,10
2428,901,9
2430,20,10
2433,2130,8
2434,79,9
2435,226,9
2437,2031,7
2438,725,6
2439,106,9
2440,2476,10
2449,2927,8
2450,489,7
2451,431,10
2452,601,6
2453,526,10
2455,33,9
2460,44,9
2461,593,9
2464,3488,8
2466,1562,10
2470,2928,10
2473,529,9
2474,3915,7
2475,857,7
2478,121,10
2486,2993,6
2488,1575,10
2489,237,7
2499,80,9
2500,1691,7
2502,120,10
2507,145,9
2508,199,9
2512,849,10
2513,1079,10
2514,1,10
2515,1944,8
2516,967,8
2517,882,7
2518,226,6
2519,2129,8
2522,16,10
2523,644,9
2529,2229,9
2530,522,10
2532,202,10
2534,849,9
2535,1023,8
2536,2596,10
2537,2596,9
2540,777,8
2545,2104,10
2548,2001,6
2550,73,9
2552,2129,8
2554,1142,9
2555,1690,8
2556,1728,10
2563,2985,9
2572,59,8
2573,1516,5
2578,1252,3
2580,15,7
2581,269,6
2582,3956,8
2584,1943,8
2586,243,9
2587,27,1
2590,1045,8
2592,294,7
2594,855,7
2619,634,9
2621,1562,7
2624,60,10
2625,687,6
2627,209,10
2628,158,10
2638,2759,10
2639,670,7
2644,232,9
2646,1107,7
2648,147,10
2650,15,10
2651,6,7
2654,3299,7
2657,2158,9
2658,294,5
2660,219,8
2663,198,8
2664,578,10
2665,1887,8
2672,202,8
2673,1023,10
2681,486,9
2682,2251,7
2683,790,8
2684,2438,10
2685,1896,8
2687,694,10
2688,2432,8
2689,788,6
2690,227,10
2691,382,9
2692,2433,10
2693,2396,8
2694,470,8
2695,614,8
2696,2935,9
2697,2134,8
2698,1248,7
2699,2531,9
2700,2191,7
2702,834,8
2704,3299,8
2709,1813,8
2710,1202,3
2716,202,10
2717,7,9
2718,104,7
